time,obs,model
2018-09-16 05:00:00,1.3,274.30743408203125
2018-09-16 06:00:00,1.1,274.4390869140625
2018-09-16 07:00:00,1.3,274.45770263671875
2018-09-16 08:00:00,1.3,274.5169677734375
2018-09-16 09:00:00,1.6,274.65625
2018-09-16 10:00:00,1.8,274.698486328125
2018-09-16 11:00:00,2.6,274.761474609375
2018-09-16 12:00:00,2.1,275.001220703125
2018-09-16 13:00:00,1.9,275.506103515625
2018-09-16 14:00:00,1.8,275.8388671875
2018-09-16 15:00:00,1.9,275.77099609375
2018-09-16 16:00:00,1.9,275.64501953125
2018-09-16 17:00:00,1.9,275.4755859375
2018-09-16 18:00:00,1.7,275.25
2018-09-16 19:00:00,1.8,275.0806579589844
2018-09-16 20:00:00,1.4,274.976806640625
2018-09-16 21:00:00,1.7,274.69873046875
2018-09-16 22:00:00,0.9,274.59619140625
2018-09-16 23:00:00,1.3,274.586669921875
2018-09-17 00:00:00,1.3,274.322265625
2018-09-17 01:00:00,0.7,274.51220703125
2018-09-17 02:00:00,1.4,274.35791015625
2018-09-17 03:00:00,1.4,274.38818359375
2018-09-17 04:00:00,1.3,274.256103515625
2018-09-17 05:00:00,1.0,274.55810546875
2018-09-17 06:00:00,1.0,274.7060546875
2018-09-17 07:00:00,1.0,274.796630859375
2018-09-17 08:00:00,1.2,274.740478515625
2018-09-17 09:00:00,1.2,274.74658203125
2018-09-17 10:00:00,0.9,274.7646484375
2018-09-17 11:00:00,1.0,274.738525390625
2018-09-17 12:00:00,0.9,274.519775390625
2018-09-17 13:00:00,0.7,274.353271484375
2018-09-17 14:00:00,0.4,274.23486328125
2018-09-17 15:00:00,0.0,274.257080078125
2018-09-17 16:00:00,0.2,274.228271484375
2018-09-17 17:00:00,0.1,274.0634765625
2018-09-17 18:00:00,0.1,274.04248046875
2018-09-17 19:00:00,0.1,273.8388671875
2018-09-17 20:00:00,-0.2,273.8740234375
2018-09-17 21:00:00,-0.1,273.736083984375
2018-09-17 22:00:00,-0.2,273.68408203125
2018-09-17 23:00:00,-0.2,273.569091796875
2018-09-18 00:00:00,-0.5,273.6036682128906
2018-09-18 01:00:00,0.0,273.694091796875
2018-09-18 02:00:00,0.2,273.7218017578125
2018-09-18 03:00:00,-0.4,273.7973937988281
2018-09-18 04:00:00,-0.1,273.6905517578125
2018-09-18 05:00:00,-0.4,273.79815673828125
2018-09-18 06:00:00,-0.3,273.795166015625
2018-09-18 07:00:00,-0.6,273.81707763671875
2018-09-18 08:00:00,-0.2,274.019287109375
2018-09-18 09:00:00,-0.1,273.9853515625
2018-09-18 10:00:00,-0.3,274.13427734375
2018-09-18 11:00:00,-0.1,274.131591796875
2018-09-18 12:00:00,0.0,274.066650390625
2018-09-18 13:00:00,0.2,273.68408203125
2018-09-18 14:00:00,0.0,274.00048828125
2018-09-18 15:00:00,0.2,273.95947265625
2018-09-18 16:00:00,0.2,273.7724609375
2018-09-18 17:00:00,0.0,273.759521484375
2018-09-18 18:00:00,0.3,273.852294921875
2018-09-18 19:00:00,0.1,273.843017578125
2018-09-18 20:00:00,-0.3,273.72845458984375
2018-09-18 21:00:00,-0.5,273.70880126953125
2018-09-18 22:00:00,-0.1,273.682373046875
2018-09-18 23:00:00,0.0,273.4469299316406
2018-09-19 00:00:00,-0.2,273.77880859375
2018-09-19 01:00:00,-0.2,273.8072814941406
2018-09-19 02:00:00,-0.2,273.7396545410156
2018-09-19 03:00:00,0.0,273.71014404296875
2018-09-19 04:00:00,-0.2,273.66815185546875
2018-09-19 05:00:00,0.1,273.5086669921875
2018-09-19 06:00:00,0.2,273.9080505371094
2018-09-19 07:00:00,0.2,273.8707275390625
2018-09-19 08:00:00,0.1,273.93994140625
2018-09-19 09:00:00,-0.2,273.92236328125
2018-09-19 10:00:00,0.0,273.977783203125
2018-09-19 11:00:00,-0.1,273.904052734375
2018-09-19 12:00:00,0.4,274.1220703125
2018-09-19 13:00:00,0.0,274.02880859375
2018-09-19 14:00:00,-0.2,274.18658447265625
2018-09-19 15:00:00,0.2,274.1409912109375
2018-09-19 16:00:00,-0.2,274.1318359375
2018-09-19 17:00:00,0.0,274.1995849609375
2018-09-19 18:00:00,-0.7,273.88458251953125
2018-09-19 19:00:00,-0.2,273.92401123046875
2018-09-19 20:00:00,-0.5,273.8720703125
2018-09-19 21:00:00,0.0,274.093994140625
2018-09-19 22:00:00,-0.2,274.01953125
2018-09-19 23:00:00,-0.4,274.0492858886719
2018-09-20 00:00:00,-0.3,273.9901123046875
2018-09-20 01:00:00,-0.3,273.9519958496094
2018-09-20 02:00:00,0.0,273.7806701660156
2018-09-20 03:00:00,-0.1,273.7493896484375
2018-09-20 04:00:00,0.0,273.71844482421875
2018-09-20 05:00:00,0.0,273.5694580078125
2018-09-20 06:00:00,0.4,274.1326904296875
2018-09-20 07:00:00,0.3,273.9975280761719
2018-09-20 08:00:00,0.1,274.0216369628906
2018-09-20 09:00:00,0.0,273.9403381347656
2018-09-20 10:00:00,0.3,274.02227783203125
2018-09-20 11:00:00,0.1,274.063720703125
2018-09-20 12:00:00,0.3,274.0862121582031
2018-09-20 13:00:00,0.4,274.2046813964844
2018-09-20 14:00:00,0.6,274.156005859375
2018-09-20 15:00:00,0.2,273.9972229003906
2018-09-20 16:00:00,0.6,273.898193359375
2018-09-20 17:00:00,0.0,273.7703857421875
2018-09-20 18:00:00,0.2,273.7510986328125
2018-09-20 19:00:00,0.5,273.924072265625
2018-09-20 20:00:00,0.1,273.85650634765625
2018-09-20 21:00:00,0.6,273.94268798828125
2018-09-20 22:00:00,0.5,273.79583740234375
2018-09-20 23:00:00,0.5,273.55072021484375
2018-09-21 00:00:00,0.3,273.55706787109375
2018-09-21 01:00:00,-0.1,273.71453857421875
2018-09-21 02:00:00,0.2,273.70166015625
2018-09-21 03:00:00,-0.2,273.7082214355469
2018-09-21 04:00:00,0.3,273.7330627441406
2018-09-21 05:00:00,0.3,273.71832275390625
2018-09-21 06:00:00,0.3,273.7803649902344
2018-09-21 07:00:00,0.7,273.78863525390625
2018-09-21 08:00:00,0.7,273.7119140625
2018-09-21 09:00:00,0.5,273.718505859375
2018-09-21 10:00:00,0.9,273.83642578125
2018-09-21 11:00:00,0.6,273.852294921875
2018-09-21 12:00:00,1.0,273.96826171875
2018-09-21 13:00:00,1.0,273.81298828125
2018-09-21 14:00:00,1.0,273.69873046875
2018-09-21 15:00:00,0.8,273.713623046875
2018-09-21 16:00:00,0.7,273.743408203125
2018-09-21 17:00:00,0.5,273.7998046875
2018-09-21 18:00:00,0.5,273.98779296875
2018-09-21 19:00:00,0.4,274.038330078125
2018-09-21 20:00:00,0.1,273.99072265625
2018-09-21 21:00:00,0.6,274.02490234375
2018-09-21 22:00:00,0.5,274.0537109375
2018-09-21 23:00:00,0.5,273.95654296875
2018-09-22 00:00:00,0.6,273.965087890625
2018-09-22 01:00:00,0.6,274.05712890625
2018-09-22 02:00:00,0.5,273.992431640625
2018-09-22 03:00:00,0.6,273.982666015625
2018-09-22 04:00:00,1.0,273.9729309082031
2018-09-22 05:00:00,0.9,274.00762939453125
2018-09-22 06:00:00,1.0,274.310791015625
2018-09-22 07:00:00,1.1,274.37548828125
2018-09-22 08:00:00,1.0,274.379638671875
2018-09-22 09:00:00,1.0,274.32373046875
2018-09-22 10:00:00,0.8,274.1611328125
2018-09-22 11:00:00,0.9,274.099609375
2018-09-22 12:00:00,0.7,274.02587890625
2018-09-22 13:00:00,0.8,274.014404296875
2018-09-22 14:00:00,0.5,273.955322265625
2018-09-22 15:00:00,0.7,273.923095703125
2018-09-22 16:00:00,0.6,273.896484375
2018-09-22 17:00:00,0.7,273.90185546875
2018-09-22 18:00:00,0.6,274.3203125
2018-09-22 19:00:00,0.7,274.466796875
2018-09-22 20:00:00,0.9,274.5048828125
2018-09-22 21:00:00,1.0,274.544677734375
2018-09-22 22:00:00,0.9,274.536865234375
2018-09-22 23:00:00,0.5,274.423828125
2018-09-23 00:00:00,0.6,274.32373046875
2018-09-23 01:00:00,0.5,274.3056640625
2018-09-23 02:00:00,0.6,274.314208984375
2018-09-23 03:00:00,1.0,274.3515625
2018-09-23 04:00:00,1.2,274.451171875
2018-09-23 05:00:00,1.1,274.426025390625
2018-09-23 06:00:00,1.1,274.66943359375
2018-09-23 07:00:00,1.1,274.62353515625
2018-09-23 08:00:00,1.1,274.748046875
2018-09-23 09:00:00,1.2,274.82763671875
2018-09-23 10:00:00,1.2,274.954833984375
2018-09-23 11:00:00,1.1,274.99755859375
2018-09-23 12:00:00,1.0,274.705810546875
2018-09-23 13:00:00,1.5,274.60107421875
2018-09-23 14:00:00,1.9,275.37841796875
2018-09-23 15:00:00,2.1,275.795166015625
2018-09-23 16:00:00,2.1,275.91064453125
2018-09-23 17:00:00,2.2,275.9619140625
2018-09-23 18:00:00,2.3,275.744873046875
2018-09-23 19:00:00,2.3,275.76904296875
2018-09-23 20:00:00,2.3,275.87451171875
2018-09-23 21:00:00,2.2,275.95947265625
2018-09-23 22:00:00,2.2,275.94677734375
2018-09-23 23:00:00,2.2,276.038330078125
2018-09-24 00:00:00,2.1,276.17578125
2018-09-24 01:00:00,2.2,276.3564453125
2018-09-24 02:00:00,2.1,276.05078125
2018-09-24 03:00:00,2.2,276.025390625
2018-09-24 04:00:00,2.2,276.10009765625
2018-09-24 05:00:00,2.4,276.12109375
2018-09-24 06:00:00,2.4,276.190185546875
2018-09-24 07:00:00,2.4,276.203857421875
2018-09-24 08:00:00,2.5,276.246826171875
2018-09-24 09:00:00,2.5,276.31640625
2018-09-24 10:00:00,2.8,276.335205078125
2018-09-24 11:00:00,2.8,276.165771484375
2018-09-24 12:00:00,2.5,276.16845703125
2018-09-24 13:00:00,2.5,276.2060546875
2018-09-24 14:00:00,2.4,276.259521484375
2018-09-24 15:00:00,2.3,276.2041015625
2018-09-24 16:00:00,2.3,276.211669921875
2018-09-24 17:00:00,2.2,275.990478515625
2018-09-24 18:00:00,2.2,275.2236328125
2018-09-24 19:00:00,2.2,275.138671875
2018-09-24 20:00:00,2.2,275.109375
2018-09-24 21:00:00,2.1,275.035400390625
2018-09-24 22:00:00,2.0,275.043701171875
2018-09-24 23:00:00,1.9,275.027099609375
2018-09-25 00:00:00,1.9,275.01708984375
2018-09-25 01:00:00,1.9,275.0234375
2018-09-25 02:00:00,1.8,275.028076171875
2018-09-25 03:00:00,1.7,275.09033203125
2018-09-25 04:00:00,1.6,274.989013671875
2018-09-25 05:00:00,1.5,275.092529296875
2018-09-25 06:00:00,1.5,275.4228515625
2018-09-25 07:00:00,1.6,275.546142578125
2018-09-25 08:00:00,1.8,275.436279296875
2018-09-25 09:00:00,2.0,275.4228515625
2018-09-25 10:00:00,2.5,275.4951171875
2018-09-25 11:00:00,2.2,275.755126953125
2018-09-25 12:00:00,2.3,275.272705078125
2018-09-25 13:00:00,2.2,274.991455078125
2018-09-25 14:00:00,1.9,274.74951171875
2018-09-25 15:00:00,1.8,274.564208984375
2018-09-25 16:00:00,1.6,274.43798828125
2018-09-25 17:00:00,1.5,274.342041015625
2018-09-25 18:00:00,1.2,274.05712890625
2018-09-25 19:00:00,1.0,273.931396484375
2018-09-25 20:00:00,0.8,273.821044921875
2018-09-25 21:00:00,0.5,273.781494140625
2018-09-25 22:00:00,0.2,273.67578125
2018-09-25 23:00:00,0.1,273.694580078125
2018-09-26 00:00:00,0.0,273.447021484375
2018-09-26 01:00:00,-0.4,273.4072265625
2018-09-26 02:00:00,-0.5,273.342529296875
2018-09-26 03:00:00,-0.5,273.2939453125
2018-09-26 04:00:00,-0.7,273.13037109375
2018-09-26 05:00:00,-0.8,272.958740234375
2018-09-26 06:00:00,-1.0,272.72265625
2018-09-26 07:00:00,-1.1,272.59326171875
2018-09-26 08:00:00,-1.2,272.520751953125
2018-09-26 09:00:00,-1.3,272.4541015625
2018-09-26 10:00:00,-1.3,272.3701171875
2018-09-26 11:00:00,-1.4,272.251708984375
2018-09-26 12:00:00,-1.5,272.0820007324219
2018-09-26 13:00:00,-1.9,271.8944091796875
