time,obs,model
2018-09-16 05:00:00,6.2,5.422137603116854
2018-09-16 06:00:00,6.9,5.424165884840235
2018-09-16 07:00:00,7.1,5.431416056632839
2018-09-16 08:00:00,5.8,5.461918864119336
2018-09-16 09:00:00,5.2,5.3720805201514095
2018-09-16 10:00:00,5.5,5.708852739672962
2018-09-16 11:00:00,4.8,5.919397968404355
2018-09-16 12:00:00,5.0,5.740763335827259
2018-09-16 13:00:00,6.0,5.162201377230651
2018-09-16 14:00:00,6.7,4.990885246814938
2018-09-16 15:00:00,6.9,5.2699842208828755
2018-09-16 16:00:00,7.2,5.4935545868127145
2018-09-16 17:00:00,7.3,5.923505815189019
2018-09-16 18:00:00,7.0,6.920297826190274
2018-09-16 19:00:00,7.7,6.0472345762759865
2018-09-16 20:00:00,7.7,5.490704570925362
2018-09-16 21:00:00,6.4,5.7899823198065015
2018-09-16 22:00:00,6.6,6.296068920858568
2018-09-16 23:00:00,5.4,6.387084278530751
2018-09-17 00:00:00,5.8,7.071611047017007
2018-09-17 01:00:00,6.6,7.3213530852251045
2018-09-17 02:00:00,6.9,6.912938810082392
2018-09-17 03:00:00,5.9,7.215463393802555
2018-09-17 04:00:00,7.4,6.741752672373779
2018-09-17 05:00:00,5.5,6.970633077015657
2018-09-17 06:00:00,6.0,8.590967678147361
2018-09-17 07:00:00,4.8,8.142152961360491
2018-09-17 08:00:00,7.1,8.438670889532068
2018-09-17 09:00:00,6.7,8.978217574112662
2018-09-17 10:00:00,7.8,8.833570465167861
2018-09-17 11:00:00,8.6,9.211140430599599
2018-09-17 12:00:00,9.4,9.735401277035391
2018-09-17 13:00:00,9.1,9.622853621905161
2018-09-17 14:00:00,8.6,9.45499077661832
2018-09-17 15:00:00,9.2,9.759368699090386
2018-09-17 16:00:00,9.0,9.849273004183482
2018-09-17 17:00:00,9.9,10.11484498701429
2018-09-17 18:00:00,8.7,8.41237352114594
2018-09-17 19:00:00,7.2,7.778388175021761
2018-09-17 20:00:00,7.2,7.733152227363822
2018-09-17 21:00:00,6.3,7.451630576477273
2018-09-17 22:00:00,7.3,8.206148531330744
2018-09-17 23:00:00,7.7,9.63800438576571
2018-09-18 00:00:00,8.4,9.224652175755566
2018-09-18 01:00:00,7.4,8.70701065848283
2018-09-18 02:00:00,8.9,7.769314233080276
2018-09-18 03:00:00,5.9,9.521460136187097
2018-09-18 04:00:00,6.2,9.23814622324684
2018-09-18 05:00:00,6.4,9.663613681347378
2018-09-18 06:00:00,5.7,8.882042468135452
2018-09-18 07:00:00,5.9,8.624150773409518
2018-09-18 08:00:00,6.9,9.046284657984252
2018-09-18 09:00:00,7.5,9.213744171890115
2018-09-18 10:00:00,6.4,9.344822034289313
2018-09-18 11:00:00,7.5,9.656483076424534
2018-09-18 12:00:00,6.6,9.825657278502534
2018-09-18 13:00:00,7.1,9.339692628691669
2018-09-18 14:00:00,7.7,8.665042529389732
2018-09-18 15:00:00,7.2,8.936312509889863
